id	value	region	incomeLevel
ABW	Aruba	LCN	HIC
AFE	Africa Eastern and Southern		
AFG	Afghanistan	SAS	LIC
AFW	Africa Western and Central		
AGO	Angola	SSF	LMC
ALB	Albania	ECS	UMC
AND	Andorra	ECS	HIC
ARB	Arab World		
ARE	United Arab Emirates	MEA	HIC
ARG	Argentina	LCN	UMC
ARM	Armenia	ECS	UMC
ASM	American Samoa	EAS	HIC
ATG	Antigua and Barbuda	LCN	HIC
AUS	Australia	EAS	HIC
AUT	Austria	ECS	HIC
AZE	Azerbaijan	ECS	UMC
BDI	Burundi	SSF	LIC
BEL	Belgium	ECS	HIC
BEN	Benin	SSF	LMC
BFA	Burkina Faso	SSF	LIC
BGD	Bangladesh	SAS	LMC
BGR	Bulgaria	ECS	HIC
BHR	Bahrain	MEA	HIC
BHS	Bahamas, The	LCN	HIC
BIH	Bosnia and Herzegovina	ECS	UMC
BLR	Belarus	ECS	UMC
BLZ	Belize	LCN	UMC
BMU	Bermuda	NAC	HIC
BOL	Bolivia	LCN	LMC
BRA	Brazil	LCN	UMC
BRB	Barbados	LCN	HIC
BRN	Brunei Darussalam	EAS	HIC
BTN	Bhutan	SAS	LMC
BWA	Botswana	SSF	UMC
CAF	Central African Republic	SSF	LIC
CAN	Canada	NAC	HIC
CEB	Central Europe and the Baltics		
CHE	Switzerland	ECS	HIC
CHI	Channel Islands	ECS	HIC
CHL	Chile	LCN	HIC
CHN	China	EAS	UMC
CIV	Cote d'Ivoire	SSF	LMC
CMR	Cameroon	SSF	LMC
COD	Congo, Dem. Rep.	SSF	LIC
COG	Congo, Rep.	SSF	LMC
COL	Colombia	LCN	UMC
COM	Comoros	SSF	LMC
CPV	Cabo Verde	SSF	LMC
CRI	Costa Rica	LCN	UMC
CSS	Caribbean small states		
CUB	Cuba	LCN	UMC
CUW	Curacao	LCN	HIC
CYM	Cayman Islands	LCN	HIC
CYP	Cyprus	ECS	HIC
CZE	Czechia	ECS	HIC
DEU	Germany	ECS	HIC
DJI	Djibouti	MEA	LMC
DMA	Dominica	LCN	UMC
DNK	Denmark	ECS	HIC
DOM	Dominican Republic	LCN	UMC
DZA	Algeria	MEA	UMC
EAP	East Asia & Pacific (excluding high income)		
EAR	Early-demographic dividend		
EAS	East Asia & Pacific		
ECA	Europe & Central Asia (excluding high income)		
ECS	Europe & Central Asia		
ECU	Ecuador	LCN	UMC
EGY	Egypt, Arab Rep.	MEA	LMC
EMU	Euro area		
ERI	Eritrea	SSF	LIC
ESP	Spain	ECS	HIC
EST	Estonia	ECS	HIC
ETH	Ethiopia	SSF	LIC
EUU	European Union		
FCS	Fragile and conflict affected situations		
FIN	Finland	ECS	HIC
FJI	Fiji	EAS	UMC
FRA	France	ECS	HIC
FRO	Faroe Islands	ECS	HIC
FSM	Micronesia, Fed. Sts.	EAS	LMC
GAB	Gabon	SSF	UMC
GBR	United Kingdom	ECS	HIC
GEO	Georgia	ECS	UMC
GHA	Ghana	SSF	LMC
GIB	Gibraltar	ECS	HIC
GIN	Guinea	SSF	LMC
GMB	Gambia, The	SSF	LIC
GNB	Guinea-Bissau	SSF	LIC
GNQ	Equatorial Guinea	SSF	UMC
GRC	Greece	ECS	HIC
GRD	Grenada	LCN	UMC
GRL	Greenland	ECS	HIC
GTM	Guatemala	LCN	UMC
GUM	Guam	EAS	HIC
GUY	Guyana	LCN	HIC
HIC	High income		
HKG	Hong Kong SAR, China	EAS	HIC
HND	Honduras	LCN	LMC
HPC	Heavily indebted poor countries (HIPC)		
HRV	Croatia	ECS	HIC
HTI	Haiti	LCN	LMC
HUN	Hungary	ECS	HIC
IBD	IBRD only		
IBT	IDA & IBRD total		
IDA	IDA total		
IDB	IDA blend		
IDN	Indonesia	EAS	UMC
IDX	IDA only		
IMN	Isle of Man	ECS	HIC
IND	India	SAS	LMC
INX	Not classified		
IRL	Ireland	ECS	HIC
IRN	Iran, Islamic Rep.	MEA	UMC
IRQ	Iraq	MEA	UMC
ISL	Iceland	ECS	HIC
ISR	Israel	MEA	HIC
ITA	Italy	ECS	HIC
JAM	Jamaica	LCN	UMC
JOR	Jordan	MEA	LMC
JPN	Japan	EAS	HIC
KAZ	Kazakhstan	ECS	UMC
KEN	Kenya	SSF	LMC
KGZ	Kyrgyz Republic	ECS	LMC
KHM	Cambodia	EAS	LMC
KIR	Kiribati	EAS	LMC
KNA	St. Kitts and Nevis	LCN	HIC
KOR	Korea, Rep.	EAS	HIC
KWT	Kuwait	MEA	HIC
LAC	Latin America & Caribbean (excluding high income)		
LAO	Lao PDR	EAS	LMC
LBN	Lebanon	MEA	LMC
LBR	Liberia	SSF	LIC
LBY	Libya	MEA	UMC
LCA	St. Lucia	LCN	UMC
LCN	Latin America & Caribbean		
LDC	Least developed countries: UN classification		
LIC	Low income		
LIE	Liechtenstein	ECS	HIC
LKA	Sri Lanka	SAS	LMC
LMC	Lower middle income		
LMY	Low & middle income		
LSO	Lesotho	SSF	LMC
LTE	Late-demographic dividend		
LTU	Lithuania	ECS	HIC
LUX	Luxembourg	ECS	HIC
LVA	Latvia	ECS	HIC
MAC	Macao SAR, China	EAS	HIC
MAF	St. Martin (French part)	LCN	HIC
MAR	Morocco	MEA	LMC
MCO	Monaco	ECS	HIC
MDA	Moldova	ECS	UMC
MDG	Madagascar	SSF	LIC
MDV	Maldives	SAS	UMC
MEA	Middle East & North Africa		
MEX	Mexico	LCN	UMC
MHL	Marshall Islands	EAS	UMC
MIC	Middle income		
MKD	North Macedonia	ECS	UMC
MLI	Mali	SSF	LIC
MLT	Malta	MEA	HIC
MMR	Myanmar	EAS	LMC
